label,device_id,speed_percent,rpm,source_file,group_id,window_id,record_index,window_index,window_start,window_end,distance_to_class_center,figure_name,figure_type,record_time_range_s,window_time_range_s,source_sampling_rate_hz,processed_sampling_rate_hz,window_size,step_size,bandpass_hz,envelope_band_hz,envelope_limit_hz,wavelet,wavelet_level
联轴器不对中,Motor-4,70,2070.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中2/振动_电机4_70_时域-平行不对中2-通道4.csv,Motor-4::70::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中2/振动_电机4_70_时域-平行不对中2-通道4.csv::record_3,振动_电机4_70_时域-平行不对中2-通道4_3_4,3,4,4800,7200,1.3374257583858045,fig4_4_full_spectrum,全频频谱,0-12.00000,0.40000-0.60000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,500.0-1500.0,300.0,db6,3
联轴器不对中,Motor-4,70,2070.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中2/振动_电机4_70_时域-平行不对中2-通道4.csv,Motor-4::70::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中2/振动_电机4_70_时域-平行不对中2-通道4.csv::record_3,振动_电机4_70_时域-平行不对中2-通道4_3_4,3,4,4800,7200,1.3374257583858045,fig4_5_wavelet_packet_bar,小波包柱状图,0-12.00000,0.40000-0.60000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,500.0-1500.0,300.0,db6,3
联轴器不对中,Motor-4,70,2070.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中2/振动_电机4_70_时域-平行不对中2-通道4.csv,Motor-4::70::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/平行不对中2/振动_电机4_70_时域-平行不对中2-通道4.csv::record_3,振动_电机4_70_时域-平行不对中2-通道4_3_4,3,4,4800,7200,1.3374257583858045,fig4_6_envelope_spectrum,包络谱,0-12.00000,0.40000-0.60000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,500.0-1500.0,300.0,db6,3
松动,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv::record_13,振动_电机2_75_时域-软脚1-通道4_13_31,13,31,37200,39600,1.582337796797297,fig4_2_time_waveform,时域波形,0-12.00000,3.10000-3.30000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
松动,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv::record_13,振动_电机2_75_时域-软脚1-通道4_13_31,13,31,37200,39600,1.582337796797297,fig4_3_low_frequency_spectrum,低频频谱,0-12.00000,3.10000-3.30000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
松动,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv::record_13,振动_电机2_75_时域-软脚1-通道4_13_31,13,31,37200,39600,1.582337796797297,fig4_4_full_spectrum,全频频谱,0-12.00000,3.10000-3.30000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
松动,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv::record_13,振动_电机2_75_时域-软脚1-通道4_13_31,13,31,37200,39600,1.582337796797297,fig4_5_wavelet_packet_bar,小波包柱状图,0-12.00000,3.10000-3.30000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
松动,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/软脚1/振动_电机2_75_时域-软脚1-通道4.csv::record_13,振动_电机2_75_时域-软脚1-通道4_13_31,13,31,37200,39600,1.582337796797297,fig4_6_envelope_spectrum,包络谱,0-12.00000,3.10000-3.30000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
轴承故障,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv::record_4,振动_电机2_75_时域-轴承内圈故障1-通道4_4_112,4,112,134400,136800,0.7949520482259049,fig4_2_time_waveform,时域波形,0-12.00000,11.20000-11.40000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
轴承故障,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv::record_4,振动_电机2_75_时域-轴承内圈故障1-通道4_4_112,4,112,134400,136800,0.7949520482259049,fig4_3_low_frequency_spectrum,低频频谱,0-12.00000,11.20000-11.40000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
轴承故障,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv::record_4,振动_电机2_75_时域-轴承内圈故障1-通道4_4_112,4,112,134400,136800,0.7949520482259049,fig4_4_full_spectrum,全频频谱,0-12.00000,11.20000-11.40000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
轴承故障,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv::record_4,振动_电机2_75_时域-轴承内圈故障1-通道4_4_112,4,112,134400,136800,0.7949520482259049,fig4_5_wavelet_packet_bar,小波包柱状图,0-12.00000,11.20000-11.40000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
轴承故障,Motor-2,75,1110.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv,Motor-2::75::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/75/轴承内圈故障1/振动_电机2_75_时域-轴承内圈故障1-通道4.csv::record_4,振动_电机2_75_时域-轴承内圈故障1-通道4_4_112,4,112,134400,136800,0.7949520482259049,fig4_6_envelope_spectrum,包络谱,0-12.00000,11.20000-11.40000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
汽蚀,Motor-4,70,2070.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv,Motor-4::70::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv::record_7,振动_电机4_70_时域-出口汽蚀2-通道4_7_56,7,56,67200,69600,1.3420471209429583,fig4_2_time_waveform,时域波形,0-12.00000,5.60000-5.80000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
汽蚀,Motor-4,70,2070.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv,Motor-4::70::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv::record_7,振动_电机4_70_时域-出口汽蚀2-通道4_7_56,7,56,67200,69600,1.3420471209429583,fig4_3_low_frequency_spectrum,低频频谱,0-12.00000,5.60000-5.80000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
汽蚀,Motor-4,70,2070.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv,Motor-4::70::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv::record_7,振动_电机4_70_时域-出口汽蚀2-通道4_7_56,7,56,67200,69600,1.3420471209429583,fig4_4_full_spectrum,全频频谱,0-12.00000,5.60000-5.80000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
汽蚀,Motor-4,70,2070.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv,Motor-4::70::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv::record_7,振动_电机4_70_时域-出口汽蚀2-通道4_7_56,7,56,67200,69600,1.3420471209429583,fig4_5_wavelet_packet_bar,小波包柱状图,0-12.00000,5.60000-5.80000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
汽蚀,Motor-4,70,2070.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv,Motor-4::70::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-4/70/出口汽蚀2/振动_电机4_70_时域-出口汽蚀2-通道4.csv::record_7,振动_电机4_70_时域-出口汽蚀2-通道4_7_56,7,56,67200,69600,1.3420471209429583,fig4_6_envelope_spectrum,包络谱,0-12.00000,5.60000-5.80000,20000.000000046613,12000.0,2400,1200,10.0-5000.0,3000.0-5000.0,300.0,db6,3
